"","region","scenario","Trade","ReactorCost","FuelCost","Technology","year","Material","demand_type","Units","annual_material_demand"
"103","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - MSR",2040,"Copper","installation_demand","kt",0.0452702837153758
"104","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - MSR",2040,"Fluorine","installation_demand","kt",0.00203263573882037
"105","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - MSR",2045,"Copper","installation_demand","kt",0.0490995676518186
"106","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - MSR",2045,"Fluorine","installation_demand","kt",0.00220457058756665
"107","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - MSR",2050,"Copper","installation_demand","kt",0.0879450063798684
"108","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - MSR",2050,"Fluorine","installation_demand","kt",0.00394873078645609
"109","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - MSR",2055,"Copper","installation_demand","kt",0.0828953562572456
"110","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - MSR",2055,"Fluorine","installation_demand","kt",0.00372200149595033
"111","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - MSR",2060,"Copper","installation_demand","kt",0.0774674934736168
"112","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - MSR",2060,"Fluorine","installation_demand","kt",0.00347829045696539
"113","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - MSR",2065,"Copper","installation_demand","kt",0.084866150880002
"114","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - MSR",2065,"Fluorine","installation_demand","kt",0.00381049017451209
"115","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - MSR",2070,"Copper","installation_demand","kt",0.0906013540422142
"116","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - MSR",2070,"Fluorine","installation_demand","kt",0.00406800079649542
"117","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - MSR",2075,"Copper","installation_demand","kt",0.091111089304255
"118","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - MSR",2075,"Fluorine","installation_demand","kt",0.00409088790976105
"119","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - MSR",2080,"Copper","installation_demand","kt",0.11786673884736
"120","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - MSR",2080,"Fluorine","installation_demand","kt",0.00529221657424648
"121","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - MSR",2085,"Copper","installation_demand","kt",0.0902926507351228
"122","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - MSR",2085,"Fluorine","installation_demand","kt",0.00405414001800701
"123","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - MSR",2090,"Copper","installation_demand","kt",0.0772869054462896
"124","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - MSR",2090,"Fluorine","installation_demand","kt",0.0034701820545384
"125","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - MSR",2095,"Copper","installation_demand","kt",0.087063191635108
"126","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - MSR",2095,"Fluorine","installation_demand","kt",0.00390913730441635
"127","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - MSR",2100,"Copper","installation_demand","kt",0.0863292546334798
"128","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - MSR",2100,"Fluorine","installation_demand","kt",0.00387618353304324
"129","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - PWR modular",2035,"Zirconium","installation_demand","kt",0.00196964567402403
"130","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - PWR modular",2040,"Zirconium","installation_demand","kt",0.00252210601893762
